_id,text,error
BM.60794,"// BM.76206
+ BM.66141 [TM], restored accordingly

// or (+) F.138 ? [TM]

-> @akk{{iti}BARA₂.SAG.SAG}","Invalid markup: // BM.76206
+ BM.66141 [TM], restored accordingly

// or (+) F.138 ? [TM]

-> {iti}BARA₂.SAG.SAG. No terminal defined for '{' at line 1 col 4

-> {iti}BARA₂.SAG.SAG
   ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.66635,@akk{[BALA]G ša₂ {d}en-lil₂ NU AL.TIL},"Invalid markup: [bala]g ša₂ {d}en-lil₂ nu al-til. No terminal defined for '{' at line 1 col 13

[bala]g ša₂ {d}en-lil₂ nu al-til
            ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.71950,"legal proceedings? [ZsF]
@sux{{d}en da nu} also in BM.37466 [TM]
could be a PN too [ZsF]","Invalid markup: legal proceedings? [ZsF]
{d}en da nu also in BM.37466 [TM]
could be a PN too [ZsF]. No terminal defined for '{' at line 1 col 26

legal proceedings? [ZsF] {d}en da nu also in BM.37466 [TM] could 
                         ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.72949,"cf. K.10378 and parallel sections Balag @sux{{d}utu-gin₇ e₃-ta} [TM]
(not collated)","Invalid markup: cf. K.10378 and parallel sections Balag {d}utu-gin₇ e₃-ta [TM]
(not collated). No terminal defined for '{' at line 1 col 41

cf. K.10378 and parallel sections Balag {d}utu-gin₇ e₃-ta [TM] (not collated)
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.73556,"Some lines, including obv.ll.1'-3', are not same with Gesche AOAT 275, p.612

@akk{{d#}}/@akk{[MU]L} (Lambert)","Invalid markup: Some lines, including obv.ll.1'-3', are not same with Gesche AOAT 275, p.612

{d#}/[MU]L (Lambert). No terminal defined for '{' at line 1 col 1

{d#}/[MU]L (Lambert)
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.83026,"Eršema @sux{dilmun{ki} nigin-na}, etc. w/musical instructions, Gabbay Eršema Prayers of the First Millennium II, 276f., Gabbay/Mirelman ZA 101, 291","Invalid markup: Eršema dilmun{ki} nigin-na, etc. w/musical instructions, Gabbay Eršema Prayers of the First Millennium II, 276f., Gabbay/Mirelman ZA 101, 291. No terminal defined for '{' at line 1 col 14

Eršema dilmun{ki} nigin-na, etc. w/musical instructio
             ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.82863,compare BM.39892 (@sux{{d}en ...}; @sux{{d}še}),"Invalid markup: compare BM.39892 ({d}en...; {d}še). No terminal defined for '{' at line 1 col 19

compare BM.39892 ({d}en...; {d}še)
                  ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98602,5' @akk{{na₄}ZU₂.LUM} ? [ZsF],"Invalid markup: 5' {na₄}ZU₂.LUM ? [ZsF]. No terminal defined for '{' at line 1 col 4

5' {na₄}ZU₂.LUM ? [ZsF]
   ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98596,"@akk{DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma}, // K.2134+ obv. 19f., 1882,0323.139 (+), K.10422, BM.38295, BM.98596 [JLP]
reverse almost entirely illegible","Invalid markup: DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma, // K.2134+ obv. 19f., 1882,0323.139 (+), K.10422, BM.38295, BM.98596 [JLP]
reverse almost entirely illegible. No terminal defined for '{' at line 1 col 12

DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma, // K.2134+ ob
           ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98625,"RB: nach Zeile 4 weitere @akk{{d}IŠKUR}
EAE 45, r. 3'-5' (see Gehlken 2012, 46-47; BM.98625 is mentioned as possibly containing some omens from EAE 45 in 47 fn. 4) [AH]","Invalid markup: RB: nach Zeile 4 weitere {d}IŠKUR
EAE 45, r. 3'-5' (see Gehlken 2012, 46-47; BM.98625 is mentioned as possibly containing some omens from EAE 45 in 47 fn. 4) [AH]. No terminal defined for '{' at line 1 col 26

RB: nach Zeile 4 weitere {d}IŠKUR EAE 45, r. 3'-5' (see Gehlken 2
                         ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98994,"Aufzählungen von Gefäßen, Tieren etc.:
obv. 5' @akk{PAB an-ni-u₂ {udu}SISKUR-MEŠ}
    11' @akk{[PA]B an-ni-u₂ ša GAL-ME[Š]}
    13' end of obverse

%(portrait)%","Invalid markup: Aufzählungen von Gefäßen, Tieren etc.:
obv. 5' PAB an-ni-u₂ {udu}SISKUR-MEŠ
    11' [PA]B an-ni-u₂ ša GAL-ME[Š]
    13' end of obverse

%(portrait)%. No terminal defined for '{' at line 1 col 61

äßen, Tieren etc.: obv. 5' PAB an-ni-u₂ {udu}SISKUR-MEŠ 11' [PA]B an-ni-u₂ ša GA
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.99268,"RB: @akk{{d}15} erkennbar, sonst unlesbar","Invalid markup: RB: {d}15 erkennbar, sonst unlesbar. No terminal defined for '{' at line 1 col 5

RB: {d}15 erkennbar, sonst unlesbar
    ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
CBS.16,"o 3-9 // BM.39429 // BM.76230. Further dupls.: BM.34895, BM.41288 [JLP]; BM 37675 + 37868 (+) BM 37859, BM.40205 [JLP]; BM.38380 (Fincke, NABU 2020/3, no. 97).
Commentary texts that disambiguate the logograms: BM.35401+ (+?) BM.45733 [WGL]; compare KAR 307.
o 2 Civil AfO 25 66-67

also // BM.35593 [JLP]
also // BM.55592 [TM]
also // BM.36193 [EJ]
also // BM.41631 [AH]

Also Commentary Text: BM.40169 [TM]

see also the commentary BM.34035 o 28ff. (@akk{SA.<A> NIG₂.GIG AN.ŠAR₂ aš₂-šu₂ {mul₂}GAG.BAN IGI {mul₂}HUN a-na {+ta}tal-lu i-še-eṭ} etc.)","Invalid markup: o 3-9 // BM.39429 // BM.76230. Further dupls.: BM.34895, BM.41288 [JLP]; BM 37675 + 37868 (+) BM 37859, BM.40205 [JLP]; BM.38380 (Fincke, NABU 2020/3, no. 97).
Commentary texts that disambiguate the logograms: BM.35401+ (+?) BM.45733 [WGL]; compare KAR 307.
o 2 Civil AfO 25 66-67

also // BM.35593 [JLP]
also // BM.55592 [TM]
also // BM.36193 [EJ]
also // BM.41631 [AH]

Also Commentary Text: BM.40169 [TM]

see also the commentary BM.34035 o 28ff. (@akk{SA.<A> NIG₂.GIG AN.ŠAR₂ aš₂-šu₂ {mul₂}GAG.BAN IGI {mul₂}HUN a-na {ta+}tal-lu i-še-eṭ} etc.). No terminal defined for '}' at line 1 col 117

u₂ {mul₂}GAG.BAN IGI {mul₂}HUN a-na {ta+}tal-lu i-še-eṭ} etc.)
                                        ^
Expected one of: 
	* X
	* __ANON_33
	* ebl_atf_text_line__UNKNOWN_NUMBER_OF_SIGNS
	* _ebl_atf_text_line__FOOT_SEPARATOR
	* __ANON_27
	* __ANON_28
	* __ANON_29
	* __ANON_30
	* __ANON_31
	* __ANON_32
	* ebl_atf_text_line__VALUE_CHARACTER
	* ebl_atf_text_line__LOGOGRAM_CHARACTER
	* LESSTHAN
	* __ANON_20
	* __ANON_22
	* LSQB
	* LPAR
	* _ebl_atf_text_line__WORD_SEPARATOR
"
DT.120,"Bīt rimki, @sux{ki-{d}utu-kam} for the sixth (Nineveh text form) or second (CBS 338 text form) ""house"" of the baptismal ceremony; for the varying attribution see Schwemer, Der kontraintuitive König, 78. Edited as part of ms. N(ineveh) B (= K.4819 [4R 23 No. 3] (+) DT.120 (+) K.2368 (+) 11661 (+) 13305) by J. Cooper, ZA 62 (1972) 65-81. DT.120 represents lines 24-30 of the reconstructed text. [HS]","Invalid markup: Bīt rimki, ki-{d}utu-kam for the sixth (Nineveh text form) or second (CBS 338 text form) ""house"" of the baptismal ceremony; for the varying attribution see Schwemer, Der kontraintuitive König, 78. Edited as part of ms. N(ineveh) B (= K.4819 [4R 23 No. 3] (+) DT.120 (+) K.2368 (+) 11661 (+) 13305) by J. Cooper, ZA 62 (1972) 65-81. DT.120 represents lines 24-30 of the reconstructed text. [HS]. No terminal defined for '{' at line 1 col 15

Bīt rimki, ki-{d}utu-kam for the sixth (Nineveh text f
              ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.10378,"K.10378 + K.15253 + K.20848 [TM], all transliterated here

Zibum zibum 14f., BL 44, CLAM 347
Balag @sux{{d}utu-gin₇ e₃-ta}","Invalid markup: K.10378 + K.15253 + K.20848 [TM], all transliterated here

Zibum zibum 14f., BL 44, CLAM 347
Balag {d}utu-gin₇ e₃-ta. No terminal defined for '{' at line 1 col 41

Zibum zibum 14f., BL 44, CLAM 347 Balag {d}utu-gin₇ e₃-ta
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.10900,"RB: ""schwer lesbar""
considered part of Practical Vocabulary Assur by Landsberger/Gurney AfO 18, 341 but compare close correspondence with ura 11 102f. (no Nineveh exemplars), with column 3' as explanatory column, @akk{{kuš}E₂-{giš}ERIN₂-MEŠ} unique (not understood as part of a balance in this context?)? [JLP]","Invalid markup: RB: ""schwer lesbar""
considered part of Practical Vocabulary Assur by Landsberger/Gurney AfO 18, 341 but compare close correspondence with ura 11 102f. (no Nineveh exemplars), with column 3' as explanatory column, {kuš}E₂-{giš}ERIN₂-MEŠ unique (not understood as part of a balance in this context?)? [JLP]. No terminal defined for '{' at line 1 col 214

, with column 3' as explanatory column, {kuš}E₂-{giš}ERIN₂-MEŠ unique (not under
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.11134,"1'-2' // @i{Iqqur īpuš} § 80, 11-12
3'-8' // @i{Iqqur īpuš} § 67, 1-5 [AH]","Invalid markup: 1'-2' // i@{Iqqur īpuš} § 80, 11-12
3'-8' // i@{Iqqur īpuš} § 67, 1-5 [AH]. No terminal defined for '{' at line 1 col 12

1'-2' // i@{Iqqur īpuš} § 80, 11-12 3'-8' // i@{Iqq
           ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
K.11376,"4'-10' // @i{Iqqur īpuš} § 56, 1-7 (K.7094+); @akk{SA.GIG} 19, 88'-91' (K.2274+) [AH]","Invalid markup: 4'-10' // @{Iqqur īpuš} § 56, 1-7 (K.7094+); SA.GIG 19, 88'-91' (K.2274+) [AH]. No terminal defined for '{' at line 1 col 12

4'-10' // @{Iqqur īpuš} § 56, 1-7 (K.7094+); SA.GIG
           ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
K.11695,"dupl. K.19831 [HS]. it might belong to BAM 516, IGI 3, also l. 9' could be also read @akk{[... ta-bi-l]a₁₂?}, also l. 10'  @akk{[... GA]ZI{sar}} [Panayotov]","Invalid markup: dupl. K.19831 [HS]. it might belong to BAM 516, IGI 3, also l. 9' could be also read ... ta-bi-l]a₁₂?, also l. 10'  GA]ZI{sar} [Panayotov]. No terminal defined for '{' at line 1 col 121

read ... ta-bi-l]a₁₂?, also l. 10' GA]ZI{sar} [Panayotov]
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.12003,"Needs revision. Follows de Zorzi, 2014, 689. obverse or reverse is not clear","Invalid markup: Needs revision. Follows de Zorzi, 2014, 689. @obverse or @reverse is not clear. No terminal defined for 'o' at line 1 col 47

revision. Follows de Zorzi, 2014, 689. @obverse or @reverse is not clear
                                        ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
K.12093,rev? 1-6 // K.2187+ rev 19'-22' EAE 33/35 @akk{{iti}AB} long version?,"Invalid markup: rev? 1-6 // K.2187+ rev 19'-22' EAE 33/35 {iti}AB long version?. No terminal defined for '{' at line 1 col 43

v? 1-6 // K.2187+ rev 19'-22' EAE 33/35 {iti}AB long version?
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.12638,Ziqīqu II,"Invalid markup: {d}Ziqīqu II. No terminal defined for '{' at line 1 col 1

{d}Ziqīqu II
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
K.14201,"cf. K.7966 &d ? (reverse), perhaps + K.7005? [TM]","Invalid markup: cf. K.7966 @d ? (reverse), perhaps + K.7005? [TM]. No terminal defined for 'd' at line 1 col 13

cf. K.7966 @d ? (reverse), perhaps + K.7005? [TM]
            ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
K.14112,#ERROR!,"Invalid markup: + K.2786+ [ACH] for transliteration see there @reverse 37'-40'. No terminal defined for 'r' at line 1 col 48

6+ [ACH] for transliteration see there @reverse 37'-40'
                                        ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
K.14848,#ERROR!,"Invalid markup: + K.8514 [TM], transliterated sub K.8514;
section dilmun{ki} nigin₂-u₃/na of Balag mu-tin nu-nus dim₂-ma; cf. Gabbay HES 2 331 sqq. (Synopsis No. X). No terminal defined for '{' at line 1 col 57

ransliterated sub K.8514; section dilmun{ki} nigin₂-u₃/na of Balag mu-tin nu-nus
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.15225,TE possibly meant as @akk{{mul₂}} [ZsF],"Invalid markup: TE possibly meant as {mul₂} [ZsF]. No terminal defined for '{' at line 1 col 22

TE possibly meant as {mul₂} [ZsF]
                     ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.15400,"RB: ""Ich kann nahezu nichts lesen""; ""@akk{[... š]a? {uru}NIN[A ...]} ist vorhanden""","Invalid markup: RB: ""Ich kann nahezu nichts lesen""; ""š]a? {uru}NIN[A ist vorhanden"". No terminal defined for '{' at line 1 col 43

: ""Ich kann nahezu nichts lesen""; ""š]a? {uru}NIN[A ist vorhanden""
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.15611,3' @akk{{lu₂}SAGI}? [ZsF],"Invalid markup: 3' {lu₂}SAGI? [ZsF]. No terminal defined for '{' at line 1 col 4

3' {lu₂}SAGI? [ZsF]
   ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.16270,,"Invalid markup:  . Unexpected end-of-input. Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_8
	* __ANON_12
	* __ANON_12
	* __ANON_11
"
K.1676,"
","Invalid markup: 
. Unexpected end-of-input. Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_8
	* __ANON_12
	* __ANON_12
	* __ANON_11
"
K.17981,section of @akk{DIŠ {mul}ŠU.PA}?,"Invalid markup: section of DIŠ {mul}ŠU.PA?. No terminal defined for '{' at line 1 col 16

section of DIŠ {mul}ŠU.PA?
               ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.18377,Eršaḫuga @sux{me-e {d}utu-ra a-ra-zu ga-an-na-ab-du₁₁-ga},"Invalid markup: Eršaḫuga me-e {d}utu-ra a-ra-zu ga-an-na-ab-du₁₁-ga. No terminal defined for '{' at line 1 col 15

Eršaḫuga me-e {d}utu-ra a-ra-zu ga-an-na-ab-du₁₁-ga
              ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.18793,i 5': cf. @sux{{d}AŠ-pa₄-huš} in AN = Anu ii 100; god list? [ZsF],"Invalid markup: i 5': cf. {d}AŠ-pa₄-huš in AN = Anu ii 100; god list? [ZsF]. No terminal defined for '{' at line 1 col 11

i 5': cf. {d}AŠ-pa₄-huš in AN = Anu ii 100; god li
          ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.19211,"same scholars as in BM.134575
cf. also @akk{{m}MU-lib₂-ši} in Catalogue of texts and authors","Invalid markup: same scholars as in BM.134575
cf. also {m}MU-lib₂-ši in Catalogue of texts and authors. No terminal defined for '{' at line 1 col 40

same scholars as in BM.134575 cf. also {m}MU-lib₂-ši in Catalogue of texts and 
                                       ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.19285,"Possibly restore the line @sux{[e-ne-eg₂-ga₂-ni {gi}kid]-MAH-am₃}
@sux{ama dumu-bi šu-ba mi-ni-ib-gur-re} is recurrent in balags (see Civil Reiner FS, 51). @sux{ildu₂} either reflects Ninildu or @sux{ildu₂} clan, etc. [JLP]","Invalid markup: Possibly restore the line e-ne-eg₂-ga₂-ni {gi}kid]-MAH-am₃
ama dumu-bi šu-ba mi-ni-ib-gur-re the is recurrent in balags (see Civil Reiner FS, 51). ildu₂ either reflects Ninildu or ildu₂ clan, etc. [JLP]. No terminal defined for '{' at line 1 col 43

ssibly restore the line e-ne-eg₂-ga₂-ni {gi}kid]-MAH-am₃ ama dumu-bi šu-ba mi-ni
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.1933,"
","Invalid markup: 
. Unexpected end-of-input. Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_8
	* __ANON_12
	* __ANON_12
	* __ANON_11
"
K.19780,"LB: @sux{{d}šar₂-ur-ra an-ta lugal-bi-ir ugu-bi šu ba-an}
OB: @sux{šar₂-ur₃-e en-re šu gu₂-bi-še₃ ba-an-na-ni-ib-ri-ri}
Lugal.e VI (vDijk e₂, pl LXXVII)","Invalid markup: LB: @sux{{d}šar₂-ur-ra an-ta lugal-bi-ir ugu-bi šu ba-an}
OB: @sux{šar₂-ur₃-e en-re šu gu₂bi-še₃ ba-an-na-ni-ib-ri-ri}
Lugal.e VI (vDijk e₂, pl LXXVII). No terminal defined for 'b' at line 1 col 91

 ba-an} OB: @sux{šar₂-ur₃-e en-re šu gu₂bi-še₃ ba-an-na-ni-ib-ri-ri} Lugal.e VI 
                                        ^
Expected one of: 
	* ebl_atf_text_line__MODIFIER
	* ebl_atf_text_line__UNCERTAIN
	* ebl_atf_text_line__CORRECTION
	* ebl_atf_text_line__COLLATION
	* ebl_atf_text_line__DAMAGE
	* LPAR
	* _ebl_atf_text_line__WORD_SEPARATOR
	* RSQB
	* RPAR
	* MORETHAN
	* __ANON_21
	* __ANON_23
	* ebl_atf_text_line__CLOSE_DOCUMENT_ORIENTED_GLOSS
	* RBRACE
	* __ANON_19
	* ebl_atf_text_line__IN_WORD_NEWLINE
	* MINUS
	* PLUS
	* DOT
	* COLON
	* LESSTHAN
	* __ANON_20
	* __ANON_22
	* LSQB
	* __ANON_24
	* __ANON_26
	* LBRACE
	* _ebl_atf_text_line__VARIANT_SEPARATOR
"
K.20101,"cf. 1881,0727.69, maybe a join? [ZsF]
-> unfortunately no (compare overlap in @akk{DUB} of @akk{{lu₂}GAL DUB.SAR-MEŠ}) but still same type of colophon [TM] 
Cf. K.3054. Issar-šumu-ēreš [SC]
UDUG-HUL 4 168'f. 
most probably (+) K.22122 [TM]
(+) K.9397? [SC]

compare also K.4895 (only other ruled manuscript of UH IV)","Invalid markup: cf. 1881,0727.69, maybe a join? [ZsF]
-> unfortunately no (compare overlap in DUB of {lu₂}GAL DUB.SAR-MEŠ) but still same type of colophon [TM] 
Cf. K.3054. Issar-šumu-ēreš [SC]
UDUG-HUL 4 168'f. 
most probably (+) K.22122 [TM]
(+) K.9397? [SC]

compare also K.4895 (only other ruled manuscript of UH IV). No terminal defined for '{' at line 1 col 86

rtunately no (compare overlap in DUB of {lu₂}GAL DUB.SAR-MEŠ) but still same typ
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.20367,"Fragment preserves phrases from the Eršema @sux{dilmun{ki} nigin-na} 1 (HES 2, no. 1), the Eršema @sux{dilmun{ki} nigin-na} 2 (HES 2, no. 70) the the Balag-section of this name (cf. HES 2, no. X), but it does not run parallel to any of these compositions.","Invalid markup: Fragment preserves phrases from the Eršema dilmun{ki} nigin-na 1 (HES 2, no. 1), the Eršema dilmun{ki} nigin-na 2 (HES 2, no. 70) the the Balag-section of this name (cf. HES 2, no. X), but it does not run parallel to any of these compositions.. No terminal defined for '{' at line 1 col 50

preserves phrases from the Eršema dilmun{ki} nigin-na 1 (HES 2, no. 1), the Erše
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.20509,"sequence of temple names in litany, possibly of Balaĝ section @sux{dilmun{ki} nigin-na} (cf. 1879,0708.70), @sux{dam-gar₃-ra ba-da-kur₂}","Invalid markup: sequence of temple names in litany, possibly of Balaĝ section dilmun{ki} nigin-na (cf. 1879,0708.70), dam-gar₃-ra ba-da-kur₂. No terminal defined for '{' at line 1 col 69

litany, possibly of Balaĝ section dilmun{ki} nigin-na (cf. 1879,0708.70), dam-ga
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
K.20820,"ES, Balag section / Eršema @sux{dilmun{ki} nigin-na}, not (+) Sm.47 (cf. line ruling in zimbir line) [TM]","Invalid markup: ES, Balag section / Eršema dilmun{ki} nigin-na, not (+) Sm.47 (cf. line ruling in zimbir line) [TM]. No terminal defined for '{' at line 1 col 34

ES, Balag section / Eršema dilmun{ki} nigin-na, not (+) Sm.47 (cf. line r
                                 ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
